,Total population,Hispanic or Latino,"Total population, not Hispanic or Latino",One race total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races
"Block 1001, Block Group 1, Census Tract 106, San Francisco County, California",98,5,93,94,61,3,0,29,0,1,4
"Block 1002, Block Group 1, Census Tract 106, San Francisco County, California",225,8,217,215,105,0,0,108,1,1,10
"Block 1003, Block Group 1, Census Tract 106, San Francisco County, California",199,8,191,190,72,3,1,112,0,2,9
"Block 1004, Block Group 1, Census Tract 106, San Francisco County, California",157,14,143,152,50,1,0,100,0,1,5
"Block 1005, Block Group 1, Census Tract 106, San Francisco County, California",120,4,116,120,48,0,0,72,0,0,0
"Block 1006, Block Group 1, Census Tract 106, San Francisco County, California",315,10,305,306,158,5,0,143,0,0,9
"Block 1007, Block Group 1, Census Tract 106, San Francisco County, California",73,7,66,70,52,0,1,12,0,5,3
"Block 2000, Block Group 2, Census Tract 106, San Francisco County, California",98,4,94,93,38,2,0,51,0,2,5
"Block 2001, Block Group 2, Census Tract 106, San Francisco County, California",98,6,92,94,28,0,0,65,0,1,4
"Block 2002, Block Group 2, Census Tract 106, San Francisco County, California",352,33,319,337,201,20,1,101,0,14,15
"Block 2003, Block Group 2, Census Tract 106, San Francisco County, California",75,3,72,72,18,2,0,50,0,2,3
"Block 2004, Block Group 2, Census Tract 106, San Francisco County, California",178,9,169,172,45,2,0,123,0,2,6
"Block 2005, Block Group 2, Census Tract 106, San Francisco County, California",145,36,109,141,32,2,0,78,0,29,4
"Block 2006, Block Group 2, Census Tract 106, San Francisco County, California",139,3,136,139,4,1,0,134,0,0,0
"Block 2007, Block Group 2, Census Tract 106, San Francisco County, California",176,1,175,174,6,0,0,168,0,0,2
"Block 2008, Block Group 2, Census Tract 106, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3000, Block Group 3, Census Tract 106, San Francisco County, California",236,3,233,234,49,2,0,181,0,2,2
"Block 3001, Block Group 3, Census Tract 106, San Francisco County, California",143,11,132,136,69,1,0,64,0,2,7
"Block 3002, Block Group 3, Census Tract 106, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 3003, Block Group 3, Census Tract 106, San Francisco County, California",2,0,2,2,1,0,0,1,0,0,0
"Block 3004, Block Group 3, Census Tract 106, San Francisco County, California",158,5,153,152,75,2,0,73,0,2,6
"Block 3005, Block Group 3, Census Tract 106, San Francisco County, California",209,6,203,203,39,1,0,162,0,1,6
"Block 3006, Block Group 3, Census Tract 106, San Francisco County, California",70,2,68,66,17,0,0,48,0,1,4
"Block 3007, Block Group 3, Census Tract 106, San Francisco County, California",162,6,156,159,43,1,0,115,0,0,3
"Block 3008, Block Group 3, Census Tract 106, San Francisco County, California",89,28,61,87,23,0,0,51,0,13,2
"Block 3009, Block Group 3, Census Tract 106, San Francisco County, California",40,4,36,39,13,0,0,24,0,2,1
"Block 3010, Block Group 3, Census Tract 106, San Francisco County, California",179,30,149,172,61,6,0,90,0,15,7
"Block 3011, Block Group 3, Census Tract 106, San Francisco County, California",80,5,75,80,64,4,2,6,0,4,0
"Block 1000, Block Group 1, Census Tract 107, San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
"Block 1001, Block Group 1, Census Tract 107, San Francisco County, California",66,6,60,66,46,0,0,18,1,1,0
"Block 1002, Block Group 1, Census Tract 107, San Francisco County, California",61,0,61,61,26,0,1,34,0,0,0
"Block 1003, Block Group 1, Census Tract 107, San Francisco County, California",208,12,196,203,99,2,0,96,0,6,5
"Block 1004, Block Group 1, Census Tract 107, San Francisco County, California",1,0,1,1,0,1,0,0,0,0,0
"Block 1005, Block Group 1, Census Tract 107, San Francisco County, California",205,28,177,199,124,5,2,53,0,15,6
"Block 1006, Block Group 1, Census Tract 107, San Francisco County, California",164,9,155,158,69,0,0,87,0,2,6
"Block 1007, Block Group 1, Census Tract 107, San Francisco County, California",166,6,160,162,96,2,0,62,0,2,4
"Block 2000, Block Group 2, Census Tract 107, San Francisco County, California",34,11,23,31,2,0,0,21,0,8,3
"Block 2001, Block Group 2, Census Tract 107, San Francisco County, California",398,7,391,395,60,4,0,329,0,2,3
"Block 2002, Block Group 2, Census Tract 107, San Francisco County, California",448,19,429,433,122,2,2,303,0,4,15
